hardware,gravity,spin_down_tau_s,time_to_stagnation_s,g_bl_floor_mol_m2_s,time_to_co2_starvation_min,time_to_hypoxia_min,canopy_thermal_rise_K,resilience_rating
Microgreen,Earth 1g,1.2,3.6,0.362,12.5,18.0,+2.8,Moderate (buoyant convection preserves basal exchange)
Microgreen,Mars 0.38g,1.2,3.6,0.185,8.2,14.5,+4.6,Moderate-Low (fractional buoyancy)
Microgreen,Moon 0.166g,1.2,3.6,0.095,5.4,9.8,+6.2,Low (slow diffusion expansion)
Microgreen,Microgravity 0g,1.2,3.6,0.035,3.1,6.5,+7.8,Critical (rapid suffocation & thermal trapping)
VEGGIE,Earth 1g,2.4,7.2,0.362,15.0,22.0,+2.4,High (large volume + chimney buoyancy)
VEGGIE,Mars 0.38g,2.4,7.2,0.185,9.5,16.0,+3.8,Moderate (open cabin diffusion)
VEGGIE,Moon 0.166g,2.4,7.2,0.095,6.2,11.5,+5.5,Low (stagnant pockets in pillow corners)
VEGGIE,Microgravity 0g,2.4,7.2,0.028,3.8,7.2,+6.9,Critical (100% boundary layer stagnation)
APH,Earth 1g,4.8,14.4,0.362,18.0,28.0,+2.1,High (large ducted inertia + buoyancy floor)
APH,Mars 0.38g,4.8,14.4,0.185,12.0,20.5,+3.2,Moderate-High (controlled thermal envelope)
APH,Moon 0.166g,4.8,14.4,0.095,8.5,15.2,+4.8,Moderate (slow thermal rise)
APH,Microgravity 0g,4.8,14.4,0.042,4.5,8.9,+5.8,Moderate-Low (larger volume buffers collapse)
CHROMEX PGC,Earth 1g,0.8,2.4,0.362,8.0,12.0,+3.2,Moderate (external PGU chassis convection)
CHROMEX PGC,Microgravity 0g,0.8,2.4,0.031,1.8,3.5,+8.4,Extremely Critical (rapid root-zone hypoxia in foam)
